#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
1465.86; 34.528351; 141588.35363261
1467.89; 34.639341; 141658.87634058
1469.93; 34.771745; 141729.6686122
1471.97; 34.93038; 141800.78385186
1474.00; 35.100984; 141872.24642659
1476.04; 35.261504; 141944.03580521
1478.07; 35.397588; 142016.10224018
1480.11; 35.516656; 142088.41108573
1482.15; 35.655464; 142161.00253353
1484.18; 35.878385; 142234.04782854
1486.22; 36.266571; 142307.88343745
1488.25; 36.900914; 142383.01051354
1490.29; 37.843221; 142460.05604469
1492.32; 39.120233; 142539.70146248
1494.36; 40.714124; 142622.59190484
1496.40; 42.561523; 142709.24349269
1498.43; 44.561393; 142799.96664314
1500.47; 46.59052; 142894.82092177
1502.50; 48.524055; 142993.61171039
1504.54; 50.257451; 143095.93154276
1506.58; 51.725457; 143201.24010954
